"country","first_capital","second_capital","largest_city_filtered"
"Afghanistan","Kabul",NULL,"Kabul"
"Albania","Tirana",NULL,"Tirana"
"Algeria","Algiers",NULL,"Algiers"
"Andorra","Andorra la Vella",NULL,"Andorra la Vella"
"Angola","Luanda",NULL,"Luanda"
"Antigua and Barbuda","Saint John’s",NULL,NULL
"Argentina","Buenos Aires",NULL,"Buenos Aires"
"Armenia","Yerevan",NULL,"Yerevan"
"Australia","Canberra",NULL,"Sydney"
"Austria","Vienna",NULL,"Vienna"
"Azerbaijan","Baku",NULL,"Baku"
"Bahrain","Manama",NULL,"Riffa"
"Bangladesh","Dhaka",NULL,"Dhaka"
"Barbados","Bridgetown",NULL,"Bridgetown"
"Belarus","Minsk",NULL,"Minsk"
"Belgium","Brussels",NULL,"Brussels"
"Belize","Belmopan",NULL,"Belize City"
"Benin","Cotonou","Porto-Novo","Cotonou"
"Bhutan","Thimphu",NULL,"Thimphu"
"Bolivia","La Paz","Sucre","Santa Cruz de la Sierra"
