"country","emissions_per_sqkm","gdp","gdp_rank"
"Singapore","52.4231843575418994","$372,062,527,489 ","34"
"Bahrain","41.4300653594771242","$38,574,069,149 ","94"
"Qatar","8.9123942689452788","$183,466,208,791 ","52"
"Trinidad and Tobago","8.5546021840873635","$24,100,202,834 ","108"
"South Korea","6.2204372242278379","$2,029,000,000,000 ","8"
"Kuwait","5.5412504209226625","$134,761,198,946 ","57"
"Maldives","4.8489932885906040","$5,729,248,472 ","146"
"Malta","4.2468354430379747","$14,786,156,563 ","124"
"Netherlands","4.1109212141636377","$909,070,395,161 ","17"
"Luxembourg","3.4756380510440835","$71,104,919,108 ","71"
"Belgium","3.1737748951781971","$529,606,710,418 ","24"
"Israel","3.1375060182956187","$395,098,666,122 ","32"
"Japan","3.0054346675697987","$5,081,769,542,380 ","3"
"Barbados","2.9674418604651163","$5,209,000,000 ","150"
"United Arab Emirates","2.4679904306220096","$421,142,267,938 ","30"
"Lebanon","2.3842307692307692","$53,367,042,272 ","83"
"Mauritius","2.1318627450980392","$14,180,444,557 ","126"
"Germany","2.0390144024737971","$3,845,630,030,824 ","4"
"United Kingdom","1.5558679857148721","$2,827,113,184,696 ","5"
"Seychelles","1.3296703296703297","$1,698,843,063 ","168"
"Brunei","1.3294015611448395","$13,469,422,941 ","131"
"Czechia","1.2960807435302471","$246,489,245,495 ","46"
"Antigua and Barbuda","1.2573363431151242","$1,727,759,259 ","167"
"Italy","1.0632873166522865","$2,001,244,392,042 ","9"
"China","1.0308512278888315","$19,910,000,000,000 ","2"
"Andorra","1.0021367521367521","$3,154,057,987 ","156"
"Poland","0.95635223947423125510","$592,164,400,688 ","21"
"Saint Kitts and Nevis","0.91187739463601532567","$1,050,992,593 ","174"
"Switzerland","0.83525934539816362623","$703,082,435,360 ","20"
"Marshall Islands","0.79005524861878453039","$221,278,000 ","183"
"Grenada","0.76790830945558739255","$1,228,170,370 ","172"
"Malaysia","0.75273990668400804009","$364,701,517,788 ","35"
"Jamaica","0.74833955054135201529","$16,458,071,068 ","120"
"Denmark","0.73759688123636701165","$348,078,018,464 ","37"
"Austria","0.73264894898117346878","$446,314,739,528 ","28"
"India","0.73242451242872870227","$2,611,000,000,000 ","7"
"Cyprus","0.71624689222786725759","$24,564,647,935 ","106"
"Saint Lucia","0.67207792207792207792","$2,122,450,630 ","162"
"Slovakia","0.66124197002141327623","$105,422,304,976 ","60"
"Slovenia","0.62314408326345385488","$53,742,159,517 ","82"
"Serbia","0.58369259364431938457","$51,409,167,351 ","85"
"Vietnam","0.58170948944778237372","$261,921,244,843 ","44"
"Bangladesh","0.56746598410346221204","$302,571,254,131 ","41"
"Saint Vincent and the Grenadines","0.56555269922879177378","$825,385,185 ","177"
"Thailand","0.55301488930464608669","$543,649,976,166 ","22"
"Portugal","0.52858630113217368672","$237,686,075,635 ","47"
"Dominican Republic","0.51896445448941853298","$88,941,298,258 ","65"
"United States","0.50910594856346920435","$21,427,700,000,000 ","1"
"Hungary","0.48949778561293374038","$160,967,157,504 ","55"
"Palau","0.48801742919389978214","$283,994,900 ","182"
"Spain","0.48281852899855551378","$1,394,116,310,769 ","13"
"Turkey","0.47568029077469300451","$754,411,708,203 ","19"
"Greece","0.47313897709102207537","$209,852,761,469 ","50"
"France","0.47107102971259752625","$2,715,518,274,227 ","6"
"Azerbaijan","0.43441108545034642032","$39,207,000,000 ","91"
"Iraq","0.43361539707563247604","$234,094,042,939 ","48"
"Bosnia and Herzegovina","0.42674375451686622263","$20,047,848,435 ","112"
"Tuvalu","0.42307692307692307692","$47,271,463 ","185"
"Philippines","0.40762333333333333333","$376,795,508,680 ","33"
"Iran","0.40147555356010666214","$445,345,282,123 ","29"
"South Africa","0.39098343846639706666","$351,431,649,241 ","36"
"Bulgaria","0.37615779363089493953","$86,000,000,000 ","66"
"Estonia","0.36680817192889360573","$31,386,949,981 ","99"
